"Totala utsläpp av växthusgaser efter växthusgas, sektor och år"

"växthusgas","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",71441.6,71688.5,71213.3,71510.2,74016.1,73363.5,77313.2,72310.3,72759.3,69684.1,68337.6,69156.5,69871.9,70231.1,69656.8,66827.5,66441.4,65324.0,62952.5,58680.2,64713.6,60371.6,57508.6,55843.0,53944.0,54106.0,53701.7,53100.5,52149.8,50810.6,46284.8
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",75166.7,75443.5,75119.1,75664.3,78808.5,78234.2,82412.2,78226.6,79553.1,76639.1,75193.7,75845.2,75717.5,77521.4,78070.9,75521.9,75645.7,74647.6,72333.7,68141.1,73794.0,68504.6,65283.4,63365.1,61933.7,62152.8,62681.5,63300.7,60716.1,60448.2,55545.7
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",34850.5,35629.6,35857.8,40028.4,40373.0,36887.1,38844.1,32771.6,32214.3,29456.0,26597.7,26566.1,27947.7,31713.9,37418.0,34823.3,25081.5,30049.4,21820.1,17473.7,21670.7,17354.1,14044.8,14522.3,12796.1,15639.8,14827.9,18335.0,17634.8,14074.2,6520.2
"Totala Växthusgaser (kt CO2-ekv.)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",38575.6,39384.5,39763.6,44182.5,45165.4,41757.8,43943.1,38688.0,39008.1,36411.0,33453.8,33254.8,33793.3,39004.2,45832.1,43517.7,34285.8,39373.0,31201.3,26934.7,30751.0,25487.0,21819.6,22044.4,20785.8,23686.5,23807.7,28535.1,26201.0,23711.9,15781.2
"Totala Växthusgaser (kt CO2-ekv.)","ARBETSMASKINER, TOTALT",3927.0,3964.1,4382.5,4159.0,4208.2,3978.6,3878.8,3929.6,3915.2,3716.8,3530.3,3385.2,3557.5,3587.9,3627.5,3637.2,3614.7,3526.1,3469.5,3489.9,3558.2,3557.1,3438.6,3377.7,3262.6,3289.1,3104.6,3102.2,3026.0,3200.6,3219.1
"Totala Växthusgaser (kt CO2-ekv.)","AVFALL, TOTALT",3741.9,3807.4,3819.5,3698.7,3567.7,3561.6,3535.2,3500.8,3448.1,3317.4,3222.1,3171.4,2997.5,2868.4,2853.4,2717.2,2620.2,2443.0,2184.0,2092.3,1970.6,1876.0,1746.2,1637.3,1506.9,1398.1,1323.3,1268.2,1192.4,1081.2,1017.1
"Totala Växthusgaser (kt CO2-ekv.)","EL OCH FJÄRRVÄRME, TOTALT",6484.4,7509.1,7997.2,7883.2,8499.2,7573.6,11665.4,7148.2,7981.5,6241.0,4957.1,5808.4,6849.6,7838.1,6837.7,5952.3,6019.5,5850.6,5495.6,6679.0,8687.5,6449.5,5851.1,5689.8,4537.3,4725.0,5105.0,4600.3,4937.4,4560.8,3520.8
"Totala Växthusgaser (kt CO2-ekv.)","INDUSTRI, TOTALT",20777.5,20569.6,19118.3,20335.6,21591.6,22390.6,22424.3,22416.8,22166.7,21177.9,21581.0,22335.8,22170.6,21760.9,21928.1,21176.9,21650.6,20857.2,20130.9,15737.8,19366.3,18206.6,17497.6,16669.9,16572.5,16617.8,16846.4,17116.4,16828.1,16227.8,14436.4
"Totala Växthusgaser (kt CO2-ekv.)","INRIKES TRANSPORTER, TOTALT",18974.9,18890.6,19783.3,18998.2,19586.6,19697.1,19425.2,19490.5,19606.0,19961.0,19807.0,19967.8,20410.7,20619.3,20956.4,21208.8,21167.9,21483.0,21001.8,20570.7,20723.9,20332.2,19217.3,18777.3,18362.8,18441.4,17764.1,17340.6,16894.9,16627.9,15032.6
"Totala Växthusgaser (kt CO2-ekv.)","UTRIKES TRANSPORTER, TOTALT",3725.2,3754.9,3905.8,4154.1,4792.4,4870.7,5099.0,5916.3,6793.8,6955.0,6856.1,6688.7,5845.6,7290.2,8414.1,8694.4,9204.3,9323.6,9381.2,9460.9,9080.3,8133.0,7774.8,7522.1,7989.6,8046.8,8979.8,10200.1,8566.2,9637.6,9261.0
"Totala Växthusgaser (kt CO2-ekv.)","JORDBRUK, TOTALT",7664.3,7332.9,7277.5,7607.9,7751.4,7589.8,7680.5,7706.4,7587.0,7460.9,7434.0,7405.1,7264.1,7175.0,7196.3,7045.4,6914.5,6930.3,6969.1,6725.8,6844.9,6838.4,6764.6,6840.9,6898.7,6923.3,6890.3,7053.9,6878.8,6823.6,6930.5
"Totala Växthusgaser (kt CO2-ekv.)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",565.1,506.8,489.9,516.1,501.7,647.2,713.7,937.9,998.7,1223.0,1339.7,1441.4,1516.9,1578.5,1749.5,1755.8,1736.0,1745.0,1792.1,1724.1,1730.1,1650.5,1698.5,1680.8,1702.8,1686.6,1702.8,1697.5,1576.2,1485.3,1435.7
"Totala Växthusgaser (kt CO2-ekv.)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",9306.4,9107.9,8345.1,8311.6,8309.7,7925.0,7990.1,7180.1,7056.3,6586.0,6466.4,5641.5,5104.9,4802.9,4508.0,3334.0,2718.0,2488.7,1909.5,1660.6,1832.1,1461.6,1294.7,1169.3,1100.4,1024.5,965.2,921.3,815.8,803.3,692.6
"Totala Växthusgaser (kt CO2-ekv.)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-36591.1,-36058.9,-35355.5,-31481.8,-33643.1,-36476.4,-38469.1,-39538.7,-40545.0,-40228.0,-41739.9,-42590.4,-41924.1,-38517.2,-32238.9,-32004.2,-41359.9,-35274.6,-41132.4,-41206.4,-43042.9,-43017.6,-43463.8,-41320.6,-41147.9,-38466.2,-38873.8,-34765.6,-34515.1,-36736.4,-39764.5
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",57580.1,57950.6,57688.9,57726.0,60186.6,59605.1,63521.8,58425.4,58893.2,56031.8,54890.7,55822.0,56791.6,57371.5,56682.9,54066.1,53885.1,53152.0,51070.5,47421.5,53287.3,49405.2,46918.6,45351.3,43477.9,43741.7,43416.0,42704.2,42094.9,40982.5,36515.1
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",61248.5,61647.7,61532.6,61816.4,64906.1,64401.5,68542.6,64250.6,65582.0,62880.6,61642.5,62409.5,62548.2,64551.1,64971.1,62629.6,62950.9,62336.9,60313.8,56742.7,62232.1,57416.6,54576.6,52760.6,51346.7,51659.7,52256.1,52746.7,50523.3,50464.0,45620.0
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",19319.1,20236.5,20682.8,24587.1,24884.6,21458.9,23382.2,17207.4,16674.2,14111.0,11448.0,11524.3,13154.3,17145.6,22737.7,20355.9,10816.9,16166.5,8259.1,4582.3,8595.1,4797.1,1916.6,2489.3,746.7,3682.5,2928.6,6292.4,5815.4,2526.4,-4960.6
"Koldioxid (CO2) (kt)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",22987.5,23933.6,24526.5,28677.5,29604.2,26255.4,28402.9,23032.6,23363.0,20959.8,18199.9,18111.8,18910.9,24325.3,31025.9,28919.4,19882.8,25351.4,17502.4,13903.6,17539.9,12808.6,9574.6,9898.6,8615.5,11600.5,11768.7,16334.9,14243.8,12007.9,4144.3
"Koldioxid (CO2) (kt)","ARBETSMASKINER, TOTALT",3862.6,3897.2,4315.4,4098.1,4149.9,3921.3,3821.3,3872.9,3860.4,3663.3,3477.4,3334.6,3506.4,3537.2,3577.1,3587.7,3563.6,3475.0,3419.0,3439.1,3508.8,3507.5,3389.5,3329.0,3213.8,3239.9,3054.6,3051.0,2973.9,3147.2,3163.7
"Koldioxid (CO2) (kt)","AVFALL, TOTALT",43.9,52.2,58.3,48.0,49.1,42.7,49.1,50.6,49.2,48.2,44.4,47.5,60.7,81.3,94.3,94.9,88.9,98.5,102.7,105.5,100.2,105.4,126.3,123.8,122.2,118.8,123.3,132.3,127.9,119.8,112.9
"Koldioxid (CO2) (kt)","EL OCH FJÄRRVÄRME, TOTALT",6350.9,7347.0,7832.1,7706.5,8319.6,7386.3,11458.6,6983.2,7804.6,6072.6,4793.0,5616.2,6641.1,7614.9,6590.0,5694.2,5752.4,5575.0,5209.0,6373.4,8350.3,6156.2,5563.5,5385.1,4266.3,4442.3,4827.6,4309.1,4641.4,4283.9,3291.8
"Koldioxid (CO2) (kt)","INDUSTRI, TOTALT",19063.0,18783.8,17540.6,18711.9,19942.0,20772.2,20902.3,20929.6,20611.3,19686.4,20200.0,21073.6,20923.7,20581.0,20740.1,19934.0,20415.2,19794.1,19170.1,15066.8,18531.6,17624.4,17017.0,16250.3,16124.7,16236.4,16447.4,16726.8,16445.0,15856.6,14077.9
"Koldioxid (CO2) (kt)","INRIKES TRANSPORTER, TOTALT",18637.5,18547.6,19436.4,18658.0,19241.5,19347.2,19082.7,19151.1,19292.6,19648.6,19569.4,19750.0,20207.6,20427.7,20775.2,21032.2,20998.9,21320.7,20840.3,20411.9,20561.4,20171.1,19053.1,18607.3,18186.1,18253.4,17560.9,17129.7,16672.5,16397.2,14802.7
"Koldioxid (CO2) (kt)","UTRIKES TRANSPORTER, TOTALT",3668.4,3697.1,3843.7,4090.4,4719.5,4796.4,5020.7,5825.3,6688.8,6848.8,6751.9,6587.5,5756.6,7179.6,8288.2,8563.5,9065.8,9184.9,9243.3,9321.2,8944.8,8011.5,7658.0,7409.3,7868.8,7918.0,8840.1,10042.5,8428.4,9481.5,9104.9
"Koldioxid (CO2) (kt)","JORDBRUK, TOTALT",177.8,140.5,112.9,134.4,161.2,172.9,197.3,178.4,133.8,160.3,159.7,140.0,133.3,129.9,123.2,116.5,89.6,115.6,104.6,114.5,123.8,123.9,142.1,142.6,123.3,124.5,128.1,127.5,128.5,122.8,122.6
"Koldioxid (CO2) (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",393.0,331.2,294.9,307.3,257.0,284.9,269.0,309.6,300.8,367.9,381.3,404.3,400.1,388.4,462.7,452.6,425.5,450.1,476.2,414.2,441.7,417.4,488.1,495.1,483.0,439.7,449.7,447.0,411.6,372.4,370.1
"Koldioxid (CO2) (kt)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",9051.5,8851.0,8098.3,8061.8,8066.4,7677.6,7741.5,6949.8,6840.7,6384.6,6265.5,5455.7,4918.6,4611.0,4320.2,3153.9,2551.0,2323.0,1748.4,1496.1,1669.4,1299.4,1138.9,1018.2,958.6,886.8,824.3,780.7,694.0,682.6,573.4
"Koldioxid (CO2) (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",-38261.0,-37714.1,-37006.1,-33138.9,-35301.9,-38146.1,-40139.6,-41218.0,-42219.0,-41920.8,-43442.6,-44297.6,-43637.3,-40225.9,-33945.2,-33710.2,-43068.2,-36985.5,-42811.4,-42839.1,-44692.3,-44608.1,-45001.9,-42862.1,-42731.2,-40059.2,-40487.4,-36411.8,-36279.5,-38456.1,-41475.7
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, exklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","NATIONELL TOTAL (inklusive LULUCF, inklusive internationella transporter)",21027.9,23523.6,24285.3,25842.5,27961.5,28843.4,30676.4,30440.6,30646.6,30521.4,29004.0,32609.3,34071.1,34269.2,35482.5,36448.3,38195.4,39548.9,40761.6,41392.7,45947.7,41958.7,43007.4,43888.2,42675.7,44104.7,46307.2,47870.6,47251.1,47861.9,47346.4
"Biogen koldioxid (CO2) från bränslen (kt)","ARBETSMASKINER, TOTALT",..,..,..,..,..,..,..,..,8.3,8.9,4.7,3.6,5.6,8.6,15.9,16.9,50.6,85.0,103.6,126.2,129.9,158.8,222.0,292.2,426.1,538.5,726.8,830.2,896.5,900.2,970.7
"Biogen koldioxid (CO2) från bränslen (kt)","AVFALL, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,46.0,46.2,43.3,48.0,50.1,52.5,51.8,55.9,35.9,33.7,33.3,32.0,25.1,25.1,25.5,24.3,23.2
"Biogen koldioxid (CO2) från bränslen (kt)","EL OCH FJÄRRVÄRME, TOTALT",2158.2,2565.7,2547.5,3709.2,4652.8,5693.5,7907.3,6718.3,7102.0,7654.7,7421.9,8832.9,9769.1,10688.7,10249.5,11637.0,12103.8,12337.7,13592.4,14607.2,16489.9,14551.4,15025.0,15403.9,14200.2,14414.0,15359.0,15803.1,15709.0,15977.8,14547.1
"Biogen koldioxid (CO2) från bränslen (kt)","INDUSTRI, TOTALT",14693.9,16678.4,17409.6,17612.8,19010.4,18633.3,18173.5,19385.5,19488.4,18932.0,17561.8,19807.2,20036.8,18718.5,20237.4,19607.1,20946.6,21449.5,21128.9,20375.6,23006.4,20611.7,21002.6,21366.1,20967.6,21676.5,21824.1,22320.8,21963.6,22582.0,23438.6
"Biogen koldioxid (CO2) från bränslen (kt)","INRIKES TRANSPORTER, TOTALT",2.1,3.0,3.8,4.4,6.6,9.0,13.1,16.7,45.2,50.1,58.6,80.9,140.5,251.2,449.5,467.4,632.4,819.4,986.5,1031.1,1120.6,1314.2,1563.2,1815.4,2353.1,2814.8,3567.1,4038.5,4392.7,4162.0,4136.6
"Biogen koldioxid (CO2) från bränslen (kt)","UTRIKES TRANSPORTER, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","JORDBRUK, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","LÖSNINGSMEDEL OCH ÖVRIG PRODUKTANVÄNDNING, TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogen koldioxid (CO2) från bränslen (kt)","EGEN UPPVÄRMNING AV BOSTÄDER OCH LOKALER, TOTALT",4173.6,4276.6,4324.5,4516.1,4291.7,4507.6,4582.5,4320.1,4002.6,3875.8,3957.0,3884.8,4119.0,4562.7,4484.2,4673.6,4418.7,4809.4,4900.2,5200.1,5149.1,5266.7,5158.7,4976.9,4695.4,4629.0,4805.0,4852.8,4263.7,4215.6,4230.2
"Biogen koldioxid (CO2) från bränslen (kt)","MARKANVÄNDNING, FÖRÄNDRAD MARKANVÄNDNING OCH SKOGSBRUK (LULUCF), TOTALT",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, exklusive internationella transporter)",296592.6,296236.0,301311.9,300204.3,297590.5,294067.4,294535.6,291994.3,287811.5,280043.7,273454.6,270614.9,260538.0,251995.3,252790.3,245112.3,240368.3,229971.8,219017.5,213036.6,208479.7,202213.4,194983.4,191339.7,185436.1,180750.5,177644.6,176283.9,172833.3,167185.6,164407.9
"Metan (CH4) (t)","NATIONELL TOTAL (exklusive LULUCF, inklusive internationella transporter)",296625.6,296267.5,301342.8,300238.1,297628.6,294113.7,294577.9,292040.9,287865.6,280098.3,273505.7,270663.1,260578.9,252045.8,252849.5,245173.5,240435.2,230037.4,219090.6,213109.9,208548.8,202276.8,195044.2,191398.6,185497.5,180803.5,177705.4,176350.6,173239.1,167658.7,164891.0
